"suspicious”,”ads”,”","abuse.ch URLhaus Host file","https://urlhaus.abuse.ch/downloads/hostfile/"
“suspicious”,”ads”,””,”ftpmorph - Smartphone Ads Tracking”,”https://raw.githubusercontent.com/ftpmorph/ftprivacy/master/blocklists/smartphone-ads-tracking.txt”
“suspicious”,”ads”,””,”ftpmorph - SmartTV Ads Tracking”,”https://raw.githubusercontent.com/ftpmorph/ftprivacy/master/blocklists/smart-tv-ads-tracking.txt”
“suspicious”,”ads”,””,”GoldenGorilla123 - YTBlock”,”https://raw.githubusercontent.com/GoldenGorilla123/Youtube-Advert-Blocklist/master/YTBlock”
“suspicious”,”ads”,””,”hostfiles.frogeye.fr - FirstParty Trackers”,”https://hostfiles.frogeye.fr/firstparty-trackers.txt”
“suspicious”,”ads”,””,”hostfiles.frogeye.fr - Multiparty Only Trackers”,”https://hostfiles.frogeye.fr/multiparty-only-trackers.txt”
“suspicious”,”ads”,””,”hostsVN - hosts”,”https://raw.githubusercontent.com/bigdargon/hostsVN/master/hosts”
“suspicious”,”ads”,””,”I don't care about cookies”,”https://www.i-dont-care-about-cookies.eu/abp/“
“suspicious”,”ads”,””,”jerryn70 - GoodbyeAds”,”https://raw.githubusercontent.com/jerryn70/GoodbyeAds/master/Hosts/GoodbyeAds.txt”
“suspicious”,”ads”,””,”jerryn70 - GoodbyeAds Ultra”,”https://raw.githubusercontent.com/jerryn70/GoodbyeAds/master/Hosts/GoodbyeAds-Ultra.txt”
“suspicious”,”ads”,””,”KADhosts”,”https://raw.githubusercontent.com/shahidcodes/firebog-ticked-list/main/ads.txt”
“suspicious”,”ads”,””,”KADhosts”,”https://raw.githubusercontent.com/PolishFiltersTeam/KADhosts/master/KADhosts.txt”
“suspicious”,”ads”,””,”kboghdady - youTube_ads_4_pi - blacklist”,”https://raw.githubusercontent.com/kboghdady/youTube_ads_4_pi-hole/master/black.list”
“suspicious”,”ads”,””,”kboghdady - youTube_ads_4_pi-hole - crowed_list”,”https://raw.githubusercontent.com/kboghdady/youTube_ads_4_pi-hole/master/crowed_list.txt”
“suspicious”,”ads”,””,”kboghdady - youTube_ads_4_pi-hole - youtubelist”,”https://raw.githubusercontent.com/kboghdady/youTube_ads_4_pi-hole/master/youtubelist.txt”
“suspicious”,”ads”,””,”Lightswitch05’s - Ads And Tracking Extended”,”https://www.github.developerdan.com/hosts/lists/ads-and-tracking-extended.txt”
“suspicious”,”ads”,””,”Lightswitch05's Tracking Aggressive Extended”,”https://www.github.developerdan.com/hosts/lists/tracking-aggressive-extended.txt”
“suspicious”,”ads”,””,”lists.disconnect.me”,”https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt”
“suspicious”,”ads”,””,”llacb47 - Anti-paywall filters”,”https://raw.githubusercontent.com/llacb47/miscfilters/master/antipaywall.txt”
“suspicious”,”ads”,””,”marktron - fakenews”,”https://raw.githubusercontent.com/marktron/fakenews/master/fakenews”
“suspicious”,”ads”,””,”mitchellkrogza - The Big List of Hacked Malware Web Sites”,”https://raw.githubusercontent.com/mitchellkrogza/The-Big-List-of-Hacked-Malware-Web-Sites/master/hacked-domains.list”
“suspicious”,”ads”,””,”NoTrack Malware Blocklist”,”https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-malware.txt”
“suspicious”,”ads”,””,”oisd full abp”,”https://abp.oisd.nl/ “
“suspicious”,”ads”,””,”oisd full dbl”,”https://dbl.oisd.nl/ “
“suspicious”,”ads”,””,”oisd full host”,”https://hosts.oisd.nl/“
“suspicious”,”ads”,””,”oisd full rpm”,”https://rpz.oisd.nl/“
“suspicious”,”ads”,””,”Online Malicious URL Blocklist”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/thirdparties/urlhaus-filter/urlhaus-filter-online.txt”
“suspicious”,”ads”,””,”Personal Blocklist by WaLLy3K”,”https://v.firebog.net/hosts/static/w3kbl.txt”
“suspicious”,”ads”,””,”Peter Lowe - pgl@yoyo.org - AdServers”,”https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&showintro=0&mimetype=plaintext”
“suspicious”,”ads”,””,”Peter Lowe - pgl@yoyo.org - ServerList”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/thirdparties/pgl.yoyo.org/as/serverlist”
“suspicious”,”ads”,””,”Phishing Army”,”https://phishing.army/download/phishing_army_blocklist_extended.txt”
“suspicious”,”ads”,””,”pirat28 - iHateTracker”,”https://raw.githubusercontent.com/pirat28/IHateTracker/master/iHateTracker.txt”
“suspicious”,”ads”,””,”Prigent - Ads”,”https://v.firebog.net/hosts/Prigent-Ads.txt”
“suspicious”,”ads”,””,”Prigent - Crypto”,”https://v.firebog.net/hosts/Prigent-Crypto.txt”
“suspicious”,”ads”,””,”Scam Blocklist by DurableNapkin”,”https://raw.githubusercontent.com/durablenapkin/scamblocklist/master/hosts.txt”
“suspicious”,”ads”,””,”slyfox1186 - Additional RegEx filters”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/additional-regex-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - Apple iOS filter list for Pi-hole”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/ios-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - Bitbucket Filters”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/bitbucket-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - First Party Tracker”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/hostfile/first-party-tracker.txt”
“suspicious”,”ads”,””,”slyfox1186 - Hostfile Converted”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/hostfile/hostfile-converted.txt”
“suspicious”,”ads”,””,”slyfox1186 - Privacy Badger”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/privacy-badger.txt”
“suspicious”,”ads”,””,”slyfox1186 - Smart TV Blacklist”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/smart-tv-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - Tracker Radar Wiki”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/tracker-radar-wiki.txt”
“suspicious”,”ads”,””,”slyfox1186 - Xiaomi”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/xiaomi-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - Yahoo”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/yahoo-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - YouTube RegEx Filters”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/youtube-regex-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - YouTube Standard Blocklist”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/youtube-standard-filters.txt”
“suspicious”,”ads”,””,”slyfox1186 - YouTube Test”,”https://raw.githubusercontent.com/slyfox1186/pihole.youtube.blocklist/main/blacklist/youtube-test.txt”
“suspicious”,”ads”,””,”Spam404”,”https://raw.githubusercontent.com/Spam404/lists/master/main-blacklist.txt”
“suspicious”,”ads”,””,”StevenBlack - hosts”,”https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts”
“suspicious”,”ads”,””,”tek967 - annoyances”,”https://raw.githubusercontent.com/tek967/adlist/main/annoyances.txt”
“suspicious”,”ads”,””,”tek967 - badware”,”https://raw.githubusercontent.com/tek967/adlist/main/badware.txt”
“suspicious”,”ads”,””,”tek967 - filters 2020”,”https://raw.githubusercontent.com/tek967/adlist/main/filters-2020.txt”
“suspicious”,”ads”,””,”tek967 - privacy”,”https://raw.githubusercontent.com/tek967/adlist/main/privacy.txt”
“suspicious”,”ads”,””,”tek967 - youtubeAd”,”https://raw.githubusercontent.com/tek967/adlist/main/youtubeAd.txt”
“suspicious”,”ads”,””,”The Block List Project - Ads List”,”https://blocklistproject.github.io/Lists/ads.txt”
“suspicious”,”ads”,””,”Threat-Intel - Latest Domains”,”https://osint.digitalside.it/Threat-Intel/lists/latestdomains.txt”
“suspicious”,”ads”,””,”uBlock Filters – Annoyances”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/annoyances.txt”
“suspicious”,”ads”,””,”uBlock Filters – BadLists”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/badlists.txt”
“suspicious”,”ads”,””,”uBlock Filters – Badware risks”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/badware.txt”
“suspicious”,”ads”,””,”uBlock Filters”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/filters.txt”
“suspicious”,”ads”,””,”uBlock Filters - 2020”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/filters-2020.txt”
“suspicious”,”ads”,””,”uBlock Filters - 2021”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/filters-2021.txt”
“suspicious”,”ads”,””,”uBlock Filters - 2022”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/filters-2022.txt”
“suspicious”,”ads”,””,”uBlock Filters - Lan Block”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/lan-block.txt”
“suspicious”,”ads”,””,”uBlock Filters - Legacy”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/legacy.txt”
“suspicious”,”ads”,””,”uBlock Filters – Privacy”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/privacy.txt”
“suspicious”,”ads”,””,”uBlock Filters – Resource abuse”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/resource-abuse.txt”
“suspicious”,”ads”,””,”uBlock Filters – Unbreak”,”https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/unbreak.txt”
“suspicious”,”ads”,””,”whackamole-ytads - pihole-blocklist - blacklist”,”https://raw.githubusercontent.com/whackamole-ytads/pihole-blocklist/master/black.list”
“suspicious”,”ads”,””,”WindowsSpyBlocker - Hosts spy rules”,”https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt”
“suspicious”,”ads”,””,”Zelo72 - pihole”,”https://raw.githubusercontent.com/Zelo72/rpi/master/pihole/blocklists/kees1958.txt”
